document_number,title,type,agency_names,publication_date,html_url,change
2026-10388,Phasedown of Hydrofluorocarbons: Excluding Road and Intermodal Container Transport Refrigeration Units From the Hydrofluorocarbon Leak Repair Requirements,Proposed Rule,Environmental Protection Agency,2026-05-26,https://www.federalregister.gov/documents/2026/05/26/2026-10388/phasedown-of-hydrofluorocarbons-excluding-road-and-intermodal-container-transport-refrigeration,unchanged
2026-10387,Phasedown of Hydrofluorocarbons: Reconsideration of Certain Regulatory Requirements Promulgated Under the Technology Transitions Provisions of the American Innovation and Manufacturing Act of 2020,Rule,Environmental Protection Agency,2026-05-26,https://www.federalregister.gov/documents/2026/05/26/2026-10387/phasedown-of-hydrofluorocarbons-reconsideration-of-certain-regulatory-requirements-promulgated-under,unchanged
2026-09895,Effluent Limitations Guidelines and Standards for the Steam Electric Power Generating Point Source Category-Unmanaged Combustion Residual Leachate,Proposed Rule,Environmental Protection Agency,2026-05-18,https://www.federalregister.gov/documents/2026/05/18/2026-09895/effluent-limitations-guidelines-and-standards-for-the-steam-electric-power-generating-point-source,unchanged
2026-09887,Tennessee Valley Authority; Browns Ferry Nuclear Power Plant; Independent Spent Fuel Storage Installation; Exemption,Notice,Nuclear Regulatory Commission,2026-05-18,https://www.federalregister.gov/documents/2026/05/18/2026-09887/tennessee-valley-authority-browns-ferry-nuclear-power-plant-independent-spent-fuel-storage,unchanged
2026-09757,"Foreign-Trade Zone (FTZ) 116, Notification of Proposed Production Activity; Golden Pass LNG Terminal LLC; (Natural Gas Terminal); Port Arthur, Texas",Notice,Commerce Department; Foreign-Trade Zones Board,2026-05-15,https://www.federalregister.gov/documents/2026/05/15/2026-09757/foreign-trade-zone-ftz-116-notification-of-proposed-production-activity-golden-pass-lng-terminal-llc,unchanged
2026-08943,Designation-Restrict the Operation of Unmanned Aircraft in Close Proximity to a Fixed Site Facility,Proposed Rule,Transportation Department; Federal Aviation Administration,2026-05-06,https://www.federalregister.gov/documents/2026/05/06/2026-08943/designation-restrict-the-operation-of-unmanned-aircraft-in-close-proximity-to-a-fixed-site-facility,unchanged
2026-08145,Energy Conservation Program: Notification of Petition for Rulemaking,Proposed Rule,Energy Department,2026-04-27,https://www.federalregister.gov/documents/2026/04/27/2026-08145/energy-conservation-program-notification-of-petition-for-rulemaking,unchanged
2026-07800,National Emission Standards for Hazardous Air Pollutants: Crude Oil and Natural Gas Production Facilities and Natural Gas Transmission and Storage Facilities; Technology Review and Reconsideration,Proposed Rule,Environmental Protection Agency,2026-04-22,https://www.federalregister.gov/documents/2026/04/22/2026-07800/national-emission-standards-for-hazardous-air-pollutants-crude-oil-and-natural-gas-production,unchanged
2026-06808,"Reconsideration of Standards of Performance for New, Reconstructed, and Modified Sources and Emissions Guidelines for Existing Sources: Oil and Natural Gas Sector Climate Review",Rule,Environmental Protection Agency,2026-04-09,https://www.federalregister.gov/documents/2026/04/09/2026-06808/reconsideration-of-standards-of-performance-for-new-reconstructed-and-modified-sources-and-emissions,unchanged
2026-06537,National Environmental Policy Act,Rule,Agriculture Department,2026-04-03,https://www.federalregister.gov/documents/2026/04/03/2026-06537/national-environmental-policy-act,unchanged
2026-06304,National Emission Standards for Hazardous Air Pollutants: Chemical Manufacturing Area Sources Technology Review,Rule,Environmental Protection Agency,2026-04-01,https://www.federalregister.gov/documents/2026/04/01/2026-06304/national-emission-standards-for-hazardous-air-pollutants-chemical-manufacturing-area-sources,unchanged
2026-06275,"Renewable Fuel Standard (RFS) Program: Standards for 2026 and 2027, Partial Waiver of 2025 Cellulosic Biofuel Volume Requirement, and Other Changes",Rule,Environmental Protection Agency,2026-04-01,https://www.federalregister.gov/documents/2026/04/01/2026-06275/renewable-fuel-standard-rfs-program-standards-for-2026-and-2027-partial-waiver-of-2025-cellulosic,unchanged
2026-06048,"Risk-Informed, Technology-Inclusive Regulatory Framework for Advanced Reactors",Rule,Nuclear Regulatory Commission,2026-03-30,https://www.federalregister.gov/documents/2026/03/30/2026-06048/risk-informed-technology-inclusive-regulatory-framework-for-advanced-reactors,unchanged
2026-05977,Perchloroethylene (PCE) and Carbon Tetrachloride (CTC); Regulation Under the Toxic Substances Control Act (TSCA); Compliance Date Extensions,Proposed Rule,Environmental Protection Agency,2026-03-27,https://www.federalregister.gov/documents/2026/03/27/2026-05977/perchloroethylene-pce-and-carbon-tetrachloride-ctc-regulation-under-the-toxic-substances-control-act,unchanged
2026-05319,Notice of Intent To Prepare an Environmental Impact Statement on Platform Gilda Well Stimulation Treatment,Notice,Interior Department; Ocean Energy Management Bureau,2026-03-18,https://www.federalregister.gov/documents/2026/03/18/2026-05319/notice-of-intent-to-prepare-an-environmental-impact-statement-on-platform-gilda-well-stimulation,unchanged
2026-05281,"Special Conditions: ZeroAvia, Inc. Model ZA601 Electric Engines",Rule,Transportation Department; Federal Aviation Administration,2026-03-18,https://www.federalregister.gov/documents/2026/03/18/2026-05281/special-conditions-zeroavia-inc-model-za601-electric-engines,unchanged
2026-05261,National Emission Standards for Hazardous Air Pollutants: Polyether Polyols Production Industry Review,Rule,Environmental Protection Agency,2026-03-18,https://www.federalregister.gov/documents/2026/03/18/2026-05261/national-emission-standards-for-hazardous-air-pollutants-polyether-polyols-production-industry,unchanged
2026-05167,National Emission Standards for Hazardous Air Pollutants: Ethylene Oxide Emissions Standards for Sterilization Facilities Residual Risk and Technology Review Reconsideration,Proposed Rule,Environmental Protection Agency,2026-03-17,https://www.federalregister.gov/documents/2026/03/17/2026-05167/national-emission-standards-for-hazardous-air-pollutants-ethylene-oxide-emissions-standards-for,unchanged
2026-04651,Certain New Chemicals; Receipt and Status Information for September-December 2025,Notice,Environmental Protection Agency,2026-03-10,https://www.federalregister.gov/documents/2026/03/10/2026-04651/certain-new-chemicals-receipt-and-status-information-for-september-december-2025,unchanged
2026-04646,Standards of Performance for New Stationary Sources and Emission Guidelines for Existing Sources: Large Municipal Waste Combustors Voluntary Remand Response and Five-Year Review,Rule,Environmental Protection Agency,2026-03-10,https://www.federalregister.gov/documents/2026/03/10/2026-04646/standards-of-performance-for-new-stationary-sources-and-emission-guidelines-for-existing-sources,unchanged
2026-04558,Marine Mammals; Incidental Take of Polar Bears and Pacific Walruses in the Beaufort Sea and North Slope of Alaska,Proposed Rule,Interior Department; Fish and Wildlife Service,2026-03-09,https://www.federalregister.gov/documents/2026/03/09/2026-04558/marine-mammals-incidental-take-of-polar-bears-and-pacific-walruses-in-the-beaufort-sea-and-north,unchanged
2026-04415,"Foreign-Trade Zone (FTZ) 53, Notification of Proposed Production Activity; Baker Hughes Oilfield Operations, LLC; (Components for Electrical Submersible Pumping Systems); Claremore, Oklahoma",Notice,Commerce Department; Foreign-Trade Zones Board,2026-03-06,https://www.federalregister.gov/documents/2026/03/06/2026-04415/foreign-trade-zone-ftz-53-notification-of-proposed-production-activity-baker-hughes-oilfield,unchanged
2026-04333,Air Plan Approval; OR; Klamath Falls PM2.5 Redesignation to Attainment and Maintenance Plan,Proposed Rule,Environmental Protection Agency,2026-03-04,https://www.federalregister.gov/documents/2026/03/04/2026-04333/air-plan-approval-or-klamath-falls-pm25-redesignation-to-attainment-and-maintenance-plan,unchanged
2026-03993,"Approval of the 2023 Edition of the American Society of Mechanical Engineers Boiler and Pressure Vessel Code and Code Cases, Revision 41",Proposed Rule,Nuclear Regulatory Commission,2026-02-27,https://www.federalregister.gov/documents/2026/02/27/2026-03993/approval-of-the-2023-edition-of-the-american-society-of-mechanical-engineers-boiler-and-pressure,unchanged
2026-03683,"Foreign-Trade Zone (FTZ) 183, Notification of Proposed Production Activity; Ultra Clean Technology Systems and Service, Inc.; (Inputs Primarily for Semiconductor Industry); Manor, Texas",Notice,Commerce Department; Foreign-Trade Zones Board,2026-02-24,https://www.federalregister.gov/documents/2026/02/24/2026-03683/foreign-trade-zone-ftz-183-notification-of-proposed-production-activity-ultra-clean-technology,unchanged
2026-02775,"Foreign-Trade Zone (FTZ) 46, Notification of Proposed Production Activity; General Electric Company; (Production and Testing of Jet Engines); Peebles, Ohio",Notice,Commerce Department; Foreign-Trade Zones Board,2026-02-11,https://www.federalregister.gov/documents/2026/02/11/2026-02775/foreign-trade-zone-ftz-46-notification-of-proposed-production-activity-general-electric-company,unchanged
2026-02774,"Foreign-Trade Zone (FTZ) 93, Notification of Proposed Production Activity; General Electric Company; (Commercial Aerospace Propulsion Parts and Engine Cores); Durham, North Carolina",Notice,Commerce Department; Foreign-Trade Zones Board,2026-02-11,https://www.federalregister.gov/documents/2026/02/11/2026-02774/foreign-trade-zone-ftz-93-notification-of-proposed-production-activity-general-electric-company,unchanged
2026-02773,"Foreign-Trade Zone (FTZ) 72, Notification of Proposed Production Activity; General Electric Company; (Commercial Aerospace Propulsion Parts and Engine Cores); Lafayette, Indiana",Notice,Commerce Department; Foreign-Trade Zones Board,2026-02-11,https://www.federalregister.gov/documents/2026/02/11/2026-02773/foreign-trade-zone-ftz-72-notification-of-proposed-production-activity-general-electric-company,unchanged
2026-02575,Hazardous Materials: Harmonization With International Standards,Proposed Rule,Transportation Department; Pipeline and Hazardous Materials Safety Administration,2026-02-10,https://www.federalregister.gov/documents/2026/02/10/2026-02575/hazardous-materials-harmonization-with-international-standards,unchanged
2026-02377,Medical Devices; Exemptions From Premarket Notification: Class II Devices; Request for Comments,Notice,Health and Human Services Department; Food and Drug Administration,2026-02-06,https://www.federalregister.gov/documents/2026/02/06/2026-02377/medical-devices-exemptions-from-premarket-notification-class-ii-devices-request-for-comments,unchanged
2026-01642,Special Conditions: Safran Electric & Power S.A. ENGINeTM US100 Series Electric Engines,Rule,Transportation Department; Federal Aviation Administration,2026-01-27,https://www.federalregister.gov/documents/2026/01/27/2026-01642/special-conditions-safran-electric-and-power-sa-enginetm-us100-series-electric-engines,unchanged
2026-01283,Lightweight Thermal Paper From the People's Republic of China: Continuation of Antidumping Duty and Countervailing Duty Orders,Notice,Commerce Department; International Trade Administration,2026-01-23,https://www.federalregister.gov/documents/2026/01/23/2026-01283/lightweight-thermal-paper-from-the-peoples-republic-of-china-continuation-of-antidumping-duty-and,unchanged
2026-01092,Implementation of the National Environmental Policy Act,Rule,Tennessee Valley Authority,2026-01-21,https://www.federalregister.gov/documents/2026/01/21/2026-01092/implementation-of-the-national-environmental-policy-act,unchanged
2026-00923,Monthly Notice; Applications and Amendments to Facility Operating Licenses and Combined Licenses Involving No Significant Hazards Considerations,Notice,Nuclear Regulatory Commission,2026-01-20,https://www.federalregister.gov/documents/2026/01/20/2026-00923/monthly-notice-applications-and-amendments-to-facility-operating-licenses-and-combined-licenses,unchanged
2026-00677,New Source Performance Standards Review for Stationary Combustion Turbines and Stationary Gas Turbines,Rule,Environmental Protection Agency,2026-01-15,https://www.federalregister.gov/documents/2026/01/15/2026-00677/new-source-performance-standards-review-for-stationary-combustion-turbines-and-stationary-gas,unchanged
2026-00171,"Special Conditions: ZeroAvia, Inc. Model ZA601 Electric Engines",Proposed Rule,Transportation Department; Federal Aviation Administration,2026-01-08,https://www.federalregister.gov/documents/2026/01/08/2026-00171/special-conditions-zeroavia-inc-model-za601-electric-engines,unchanged
2025-24233,Airworthiness Directives; General Atomics AeroTec Systems GmbH (Type Certificate Previously Held by RUAG Aerospace Services GmbH) Airplanes,Proposed Rule,Transportation Department; Federal Aviation Administration,2026-01-05,https://www.federalregister.gov/documents/2026/01/05/2025-24233/airworthiness-directives-general-atomics-aerotec-systems-gmbh-type-certificate-previously-held-by,unchanged
2025-24102,Effluent Limitations Guidelines and Standards for the Steam Electric Power Generating Point Source Category-Deadline Extensions,Rule,Environmental Protection Agency,2025-12-31,https://www.federalregister.gov/documents/2025/12/31/2025-24102/effluent-limitations-guidelines-and-standards-for-the-steam-electric-power-generating-point-source,unchanged
2025-23316,"Implementing Certain Tariff-Related Elements of the Framework for a United States-Switzerland-Liechtenstein Agreement on Fair, Balanced, and Reciprocal Trade",Notice,"Trade Representative, Office of United States; Commerce Department; International Trade Administration",2025-12-18,https://www.federalregister.gov/documents/2025/12/18/2025-23316/implementing-certain-tariff-related-elements-of-the-framework-for-a-united,unchanged
2025-22827,Mandatory Toy Safety Standards: Requirements for Neck Floats,Rule,Consumer Product Safety Commission,2025-12-15,https://www.federalregister.gov/documents/2025/12/15/2025-22827/mandatory-toy-safety-standards-requirements-for-neck-floats,unchanged
2025-22014,The Safer Affordable Fuel-Efficient (SAFE) Vehicles Rule III for Model Years 2022 to 2031 Passenger Cars and Light Trucks,Proposed Rule,Transportation Department; National Highway Traffic Safety Administration,2025-12-05,https://www.federalregister.gov/documents/2025/12/05/2025-22014/the-safer-affordable-fuel-efficient-safe-vehicles-rule-iii-for-model-years-2022-to-2031-passenger,unchanged
2025-20930,Monthly Notice; Applications and Amendments to Facility Operating Licenses and Combined Licenses Involving No Significant Hazards Considerations,Notice,Nuclear Regulatory Commission,2025-11-25,https://www.federalregister.gov/documents/2025/11/25/2025-20930/monthly-notice-applications-and-amendments-to-facility-operating-licenses-and-combined-licenses,unchanged
2025-20578,Agency Forms Undergoing Paperwork Reduction Act Review,Notice,Health and Human Services Department; Centers for Disease Control and Prevention,2025-11-21,https://www.federalregister.gov/documents/2025/11/21/2025-20578/agency-forms-undergoing-paperwork-reduction-act-review,unchanged
2025-20402,Updated Definition of “Waters of the United States”,Proposed Rule,Defense Department; Engineers Corps; Environmental Protection Agency,2025-11-20,https://www.federalregister.gov/documents/2025/11/20/2025-20402/updated-definition-of-waters-of-the-united-states,unchanged
2025-20097,"Air Plan Approval; AK, Fairbanks North Star Borough; 2006 24-Hour PM2.5 Serious Area and 189(d) Plan",Rule,Environmental Protection Agency,2025-11-18,https://www.federalregister.gov/documents/2025/11/18/2025-20097/air-plan-approval-ak-fairbanks-north-star-borough-2006-24-hour-pm25-serious-area-and-189d-plan,unchanged
2025-19815,National Emission Standards for Hazardous Air Pollutants From Hazardous Waste Combustors: Residual Risk and Technology Review; Withdrawal of Proposed Revisions to Standards for Periods of Malfunction,Proposed Rule,Environmental Protection Agency,2025-11-10,https://www.federalregister.gov/documents/2025/11/10/2025-19815/national-emission-standards-for-hazardous-air-pollutants-from-hazardous-waste-combustors-residual,unchanged
2025-19812,Protection of Stratospheric Ozone: Listing of Substitutes Under the Significant New Alternatives Policy Program in Refrigeration and Air Conditioning and Fire Suppression,Proposed Rule,Environmental Protection Agency,2025-11-10,https://www.federalregister.gov/documents/2025/11/10/2025-19812/protection-of-stratospheric-ozone-listing-of-substitutes-under-the-significant-new-alternatives,unchanged
2025-19713,Air Plan Approval; AK; Regional Haze Plan for the Second Implementation Period,Proposed Rule,Environmental Protection Agency,2025-10-30,https://www.federalregister.gov/documents/2025/10/30/2025-19713/air-plan-approval-ak-regional-haze-plan-for-the-second-implementation-period,unchanged
2025-19438,Phasedown of Hydrofluorocarbons: Reconsideration of Certain Regulatory Requirements Promulgated Under the Technology Transitions Provisions of the American Innovation and Manufacturing Act of 2020,Proposed Rule,Environmental Protection Agency,2025-10-03,https://www.federalregister.gov/documents/2025/10/03/2025-19438/phasedown-of-hydrofluorocarbons-reconsideration-of-certain-regulatory-requirements-promulgated-under,unchanged
2025-19268,Effluent Limitations Guidelines and Standards for the Steam Electric Power Generating Point Source Category-Deadline Extensions,Proposed Rule,Environmental Protection Agency,2025-10-02,https://www.federalregister.gov/documents/2025/10/02/2025-19268/effluent-limitations-guidelines-and-standards-for-the-steam-electric-power-generating-point-source,unchanged
2025-18660,"Implementing Certain Tariff-Related Elements of the U.S.-EU Framework on an Agreement on Reciprocal, Fair, and Balanced Trade",Notice,"Commerce Department; International Trade Administration; Trade Representative, Office of United States",2025-09-25,https://www.federalregister.gov/documents/2025/09/25/2025-18660/implementing-certain-tariff-related-elements-of-the-us-eu-framework-on-an-agreement-on-reciprocal,unchanged
2025-17948,Trichloroethylene; Regulation Under the Toxic Substances Control Act (TSCA); Compliance Date Extension,Rule,Environmental Protection Agency,2025-09-17,https://www.federalregister.gov/documents/2025/09/17/2025-17948/trichloroethylene-regulation-under-the-toxic-substances-control-act-tsca-compliance-date-extension,unchanged
2025-17923,Reconsideration of the Greenhouse Gas Reporting Program,Proposed Rule,Environmental Protection Agency,2025-09-16,https://www.federalregister.gov/documents/2025/09/16/2025-17923/reconsideration-of-the-greenhouse-gas-reporting-program,unchanged
2025-17262,"Energy Conservation Program for Appliance Standards: Certification Requirements, Labeling Requirements, and Enforcement Provisions for Certain Consumer Products and Commercial Equipment",Rule,Energy Department,2025-09-09,https://www.federalregister.gov/documents/2025/09/09/2025-17262/energy-conservation-program-for-appliance-standards-certification-requirements-labeling-requirements,unchanged
2025-17227,Energy Conservation Program: Test Procedure for Central Air Conditioners and Heat Pumps,Rule,Energy Department,2025-09-09,https://www.federalregister.gov/documents/2025/09/09/2025-17227/energy-conservation-program-test-procedure-for-central-air-conditioners-and-heat-pumps,unchanged
2025-17055,Air Plan Approval; OR; Lane County Permitting Rule Revisions,Proposed Rule,Environmental Protection Agency,2025-09-05,https://www.federalregister.gov/documents/2025/09/05/2025-17055/air-plan-approval-or-lane-county-permitting-rule-revisions,unchanged
2025-17041,Air Plan Approval; Arkansas; Regional Haze State Implementation Plan for the Second Implementation Period,Proposed Rule,Environmental Protection Agency,2025-09-05,https://www.federalregister.gov/documents/2025/09/05/2025-17041/air-plan-approval-arkansas-regional-haze-state-implementation-plan-for-the-second-implementation,unchanged
2025-16683,"TUV SUD America, Inc.: Grant of Expansion of Recognition and Modification to the NRTL Program's List of Appropriate Test Standards",Notice,Labor Department; Occupational Safety and Health Administration,2025-09-02,https://www.federalregister.gov/documents/2025/09/02/2025-16683/tuv-sud-america-inc-grant-of-expansion-of-recognition-and-modification-to-the-nrtl-programs-list-of,unchanged
2025-15748,Air Plan Approval; Tennessee; Second Planning Period Regional Haze Plan,Proposed Rule,Environmental Protection Agency,2025-08-19,https://www.federalregister.gov/documents/2025/08/19/2025-15748/air-plan-approval-tennessee-second-planning-period-regional-haze-plan,unchanged
2025-14572,Reconsideration of 2009 Endangerment Finding and Greenhouse Gas Vehicle Standards,Proposed Rule,Environmental Protection Agency,2025-08-01,https://www.federalregister.gov/documents/2025/08/01/2025-14572/reconsideration-of-2009-endangerment-finding-and-greenhouse-gas-vehicle-standards,unchanged
2025-14531,"Extension of Deadlines in Standards of Performance for New, Reconstructed, and Modified Sources and Emissions Guidelines for Existing Sources: Oil and Natural Gas Sector Climate Review Final Rule",Rule,Environmental Protection Agency,2025-07-31,https://www.federalregister.gov/documents/2025/07/31/2025-14531/extension-of-deadlines-in-standards-of-performance-for-new-reconstructed-and-modified-sources-and,unchanged
